DynamicPGM,988368,3400069928,395.514,99,158,5620,1045943794,288985,2526.51,2510,3405,3807,8441847,17405.5,520.621,99,159,5554,3436618873,788999,2428.02,2404,3184,3560,9234946,17481,408.759,100,159,5563,1041268390,310272,3042.22,3038,3979,4483,8711218,18351.1,453.141,100,159,5573,2085112631,499838,3106.39,3110,4111,4666,7652408,18151,390.733,100,160,5587,1049331661,290035,4890.79,4920,6230,8860,7000625,23355.4,773.469,100,159,5553,7731876780,553057,2824.28,2781,3666,4143,7010122,18241,451.033,100,159,5554,2091782804,500592,3215.71,3178,4172,4770,7406548,19606.8,411.658,100,159,5554,1042417772,311647,3406.46,3405,4439,5116,8319855,20339.1,546.838,100,159,5560,4178231439,949725,4037.9,4000,5151,7172,9176653,22789.8,InterpolationSearch,256
DynamicPGM,932077,3400264388,396.171,98,157,5584,1057135821,292358,2497.11,2484,3356,3773,8209754,17371.7,528.408,98,157,5556,3527242481,809153,2292.08,2268,3010,3366,9428139,17215.7,414.784,98,157,5573,1062144390,314966,2968.05,2963,3871,4400,9050484,18201.7,459.538,99,160,5589,2119140246,507044,3019.73,3023,3983,4500,7580396,18364.1,393.732,98,157,5564,1058797446,291487,4712.04,4745,5991,8646,6948883,23148.4,777.969,98,157,5585,7953936718,693989,2796.66,2755,3617,4083,7057806,18056.7,444.548,98,157,5560,2128818227,508313,3115.55,3076,4049,4582,7428824,19611.7,401.888,98,157,5578,1063922886,314245,3465.38,3461,4491,5187,8238050,20555.8,542.368,98,157,5585,4300713629,176664,3903.88,3866,4984,6568,9353440,22259.6,InterpolationSearch,128
DynamicPGM,909413,3400021468,404.031,101,175,5649,1040547474,288744,2603.55,2585,3537,3956,8250528,17861.7,531.166,101,175,5608,3400126023,781370,2426.63,2399,3192,3590,9204509,17635.2,422.332,101,175,5687,1039727497,309992,3154.42,3147,4118,4628,8684104,18693,464.366,101,175,5656,2063240589,495547,3178.12,3178,4208,5066,7961892,18561.3,402.5,101,175,5671,1035258509,288217,4957.82,4986,6317,9063,6938400,23545.3,777.327,101,175,5561,7543949559,402897,2950.32,2904,3814,4332,7115155,18409.4,461.923,101,175,5670,2063153624,494940,3289.03,3250,4275,4861,7395814,19770.1,424.944,101,175,5654,1039199841,311503,3595.36,3596,4666,5426,8224738,20738.8,537.827,101,175,5597,4124983831,937624,4073.31,4033,5228,7242,9189231,22618.5,InterpolationSearch,512
LIPP,3753644,20507500320,489.045,375,2803,4321,9813943,8025.82,26.6462,26,28,28,7221966,2650.46,591.789,464,2900,4460,9345893,8313.2,25.7259,26,28,28,5237924,1171.35,657.88,549,2997,4551,9763702,8627.34,25.7334,26,28,28,5285620,1182.03,708.396,589,3048,4597,9351572,9297.27,26.0686,26,28,28,5845054,1768.67,745.024,634,3076,4657,7766577,8447.71,26.671,26,28,28,7784815,2738.11,777.17,663,3096,4671,10144413,9085.54,25.4662,26,28,28,20684,16.024,799.826,687,3113,4693,9761415,9024.99,26.1057,26,28,28,7487220,2044.03,818.648,701,3132,4721,8868740,9180.6,25.4712,26,28,28,23298,17.9982,831.94,710,3157,4747,9577949,9268.68,25.7313,26,28,28,5251530,1174.38
BTree,242468,4887770224,1033.08,969,1760,4633,8769319,11473.9,823.018,793,1311,1597,8732485,9810.34,1099.28,1043,1735,4767,9093543,10997.7,877.886,847,1394,1668,8188845,9549.16,1175.41,1110,1876,4923,8347831,11282.7,932.856,900,1469,1736,6660243,9701.31,1201.13,1133,1904,4954,7220204,11806.1,947.98,914,1492,1754,7117072,10409.3,1226.57,1167,1861,4826,7951814,11900.8,996.375,963,1553,1810,7913259,10832.3,1283.34,1216,1956,4899,9056563,12448.2,1038.25,1004,1608,1868,9157916,10929.5,1313.64,1240,2058,5191,9109620,12225.3,1053.23,1020,1623,1880,7196519,10350.9,1322.39,1249,2053,5146,7315086,12326.2,1066.35,1030,1636,1892,6553594,10949.4,1325.16,1256,2010,4962,7932419,12552.3,1075.55,1040,1649,1906,7910159,11102.2,InterpolationSearch,10
BTree,191196,5385645184,945.339,887,1556,1908,8061780,10720.5,772.959,742,1253,1520,7940297,9216.43,1021.62,961,1658,2020,8322448,11242.2,828.805,792,1341,1596,7933488,9994.61,1087.48,1024,1732,2094,7999213,11660.9,880.436,846,1425,1660,7972826,10213.5,1128.23,1065,1769,2112,8016298,11710.9,912.324,876,1467,1694,8157791,10622.3,1157.14,1090,1824,2201,8023945,11801.5,936.31,899,1503,1725,8160980,10308.3,1186.9,1119,1853,2220,8030895,12029.4,970.701,930,1549,1763,7929406,10903.1,1216.38,1148,1881,2233,8045766,12128.2,990.444,955,1587,1796,7971626,10552.2,1241.33,1170,1901,4003,8055868,12126.1,1011.9,974,1611,1816,7987010,11015.4,1266.11,1187,1982,4935,9106492,12135,1027.72,990,1632,1836,9070217,10685.5,LinearSearch,8
BTree,101507,5100024920,1134.25,1088,1934,2830,8934952,11687.6,728.274,700,1170,1432,8803956,9647.01,1181.35,1132,1852,2917,8952745,12519.5,775.171,743,1250,1523,8800755,9781.65,1278.58,1229,2062,3096,8919511,12802,822.562,790,1326,1599,8794360,9808.91,1247.97,1186,2047,3200,8944376,12792.2,861.599,828,1384,1648,8791995,10386.6,1293.27,1246,1911,2240,8927020,12707.7,893.131,857,1427,1693,8787898,10557.9,1357.2,1310,2029,3036,8937572,13204.8,902.712,866,1445,1711,8775855,10545.9,1384.23,1319,2592,3313,8947638,13383.1,930.878,891,1484,1747,8781411,10745.6,1349,1277,2596,3362,8956973,12981.7,941.622,901,1501,1763,8775145,10525.4,1325.41,1266,2008,3232,8962605,12869.4,954.715,913,1521,1790,8751311,10602.4,InterpolationSearch,12
ALEX,7553782,4603161280,451.391,368,858,1470,10840622,13240.5,222.535,199,526,943,8801652,5220.16,550.631,410,1000,2064,15919904,23636.6,229.579,203,535,1108,8389929,5273.77,595.606,448,1098,2747,13457651,26772.5,241.722,212,556,1406,7398145,5586.88,644.246,491,1210,3624,14584811,21773.8,250.05,218,576,1643,7962487,5738.56,548.906,500,1200,3846,8115835,8238,262.203,224,639,2275,7968675,5173.87,731.985,541,1336,4843,13669206,25121.7,266.417,231,625,2252,8410990,4970.12,609.743,554,1340,5143,8630802,8321.23,282.204,240,696,2899,8376116,5118.71,931.489,587,1567,6252,17221017,45538.8,290.902,254,674,2592,7997196,5859.53,635.989,580,1355,5302,8139441,9362.27,299.446,258,719,3092,7944050,6300.01,LinearSearch,22
ALEX,7817793,4605504232,445.768,375,898,1457,9849839,8967.04,227.738,204,529,835,9089417,5026.09,563.787,424,1034,2038,9333283,14107.8,241.411,217,545,987,9143446,5577.14,608.625,465,1140,2641,10971964,15095.8,255.623,229,570,1235,9272920,5800.38,652.483,509,1258,3480,9357926,13198.9,263.968,233,590,1427,9111977,5241.77,568.358,520,1244,3553,9323078,8352.31,280.612,242,654,1892,9128029,6240.12,745.721,559,1405,4551,10930249,15156,283.8,247,644,1850,8413105,5519.92,627.609,569,1399,4514,8949547,9025.37,304.971,264,723,2262,8394388,6053.17,963.353,606,1647,5427,9799016,25338.9,301.917,264,684,1879,7987866,6100.42,648.047,593,1393,4127,8374889,9227.24,312.945,274,729,2154,7978307,6695.78,LinearSearch,20
ALEX,7333724,4602203616,431.247,366,876,1466,8607121,9943.16,217.52,194,521,931,7272500,4516.04,501.725,404,993,2049,7657978,14120.2,222.758,196,529,1096,7274924,4759.69,532.583,438,1090,2710,26315010,19324.7,230.033,199,547,1392,7447430,5231.01,612.405,476,1196,3568,37525628,28386.2,237.138,203,563,1616,7601929,5467.82,536.173,487,1186,3802,8155342,8685.11,251.731,210,626,2253,7618935,6205.27,707.73,523,1320,4817,37310090,37843.4,251.392,212,610,2258,8297382,5469.93,593.891,537,1324,5206,8611764,8992.51,268.61,223,683,2916,8335446,5518.11,873.815,567,1556,6484,49187855,78528.9,270.55,230,654,2743,7963605,6085,617.159,560,1342,5803,8115776,9084.82,284.865,241,710,3361,7963587,6042.75,LinearSearch,24
