DynamicPGM,1505867,2267606327,421.525,98,156,5624,1311432312,350592,3118.91,3077,4583,5174,7959638,19297.6,554.883,100,158,5577,3803878282,874050,2720.54,2811,3873,4324,8501111,17842.4,441.92,103,161,5588,1320738243,376486,3515.29,3517,5132,5834,8189563,18850.2,489.214,103,160,5597,2525161896,599606,3737.91,3730,5487,6247,7237655,19378.4,416.718,102,160,5562,1312089128,349710,5667.72,5660,8224,10828,6776914,24110.2,745.82,102,160,5612,6458718231,603488,3233.48,3253,4622,5179,6747862,17833,495.077,102,160,5593,2502603167,594286,3716.06,3697,5365,6158,6727130,19512.8,454.867,102,160,5591,1309318081,377087,3872.62,3848,5815,6734,6946099,20352.9,574.574,103,161,5596,4288176830,977728,4396.22,4397,6354,8074,7829561,22169.9,ExponentialSearch,512
DynamicPGM,1446019,2267606327,422.382,99,157,5627,1312624079,350865,2555.99,2546,3711,4584,18000948,18018.8,558.497,99,157,5590,3815068983,876680,2248.56,2294,3170,3781,8711905,16147.1,444.956,99,158,5589,1312404618,375995,2893.79,2922,4125,5629,8264541,17168.3,488.14,99,158,5593,2512838037,596765,2921.48,2929,4185,6124,7195786,17039.6,422.146,99,158,5602,1307711073,350257,4590.84,4624,6494,9414,6790718,21790.9,741.962,99,158,5629,6465517836,607007,2605.4,2608,3650,4800,6729947,15920.2,490.117,99,158,5603,2515384897,597114,2994.07,2970,4242,6077,6960440,17559.1,450.382,99,158,5600,1314892899,377028,3082.99,3104,4478,6812,7413245,18381.5,571.535,99,158,5578,4294875731,979098,3597.78,3570,5075,7527,8152433,19936.5,InterpolationSearch,512
DynamicPGM,1291689,2267814247,437.17,101,159,5570,1262265697,357016,2400.7,2389,3436,4015,7720982,17215.6,566.207,101,160,5587,3555828061,828088,2178.97,2222,3045,3478,8704013,16306.4,462.75,101,160,5569,1253301933,384977,2695.72,2716,3810,4686,8792974,16715.7,504.447,101,160,5584,2300939043,564313,2743.39,2747,3914,5019,7720848,16640.6,436.458,101,160,5577,1254543245,354538,4246.65,4280,5983,8478,6780948,21189.1,735.186,101,160,5573,6022085103,1.00885e+06,2488.13,2494,3500,4143,6752650,15851.5,501.984,100,160,5582,2302851567,563718,2750.9,2730,3879,4839,6607560,17034.6,470.475,101,160,5588,1261872533,389876,2822.66,2836,4080,5560,7085731,17466.1,572.266,101,160,5587,3939947024,907739,3389.14,3373,4728,6523,7799033,19559.3,InterpolationSearch,128
BTree,249705,4887726888,1033.9,970,1749,4810,9289191,11315.7,766.699,766,1289,1584,9193645,9804.27,1091.36,1033,1716,4900,9720809,11379.8,797.903,795,1352,1639,8778014,9158.86,1169.31,1105,1858,5013,9385570,11624.9,850.026,849,1429,1710,7087781,9590.69,1187.5,1121,1876,5029,7450501,11813.2,871.381,870,1458,1733,7426024,10425.6,1210.61,1151,1834,4882,8275920,12320.8,896.145,897,1501,1776,8209220,10225.2,1276.87,1210,1931,4959,9699777,12814.3,937.665,944,1566,1842,9567713,10353.6,1307.69,1237,2028,5414,9731656,12367.4,949.175,954,1580,1853,7731519,10417.4,1317.12,1246,2019,5258,7938492,12524.4,957.532,963,1593,1867,6916009,10343.5,1314.59,1248,1977,5009,8278766,12568,959.867,965,1598,1871,8201533,10577.1,InterpolationSearch,10
BTree,172363,5390191408,940.786,885,1545,1887,8279334,10423.7,711.075,712,1234,1520,8233101,9137.53,1018.17,960,1645,1996,8292348,11184.7,764.135,766,1326,1599,8220018,9466.91,1084.1,1026,1717,2061,8279337,11136.8,804.659,810,1401,1662,8217492,9842.11,1126.82,1066,1759,2089,8268622,11792.9,825.797,835,1441,1695,8223048,9851.81,1150.67,1088,1810,2180,8246027,11240.9,844.9,856,1481,1727,8127652,9936.97,1177.38,1113,1833,2184,8185958,11688.3,866.752,881,1522,1763,8127863,9657.56,1206.94,1140,1858,2188,8189454,12118.4,885.346,901,1554,1791,8346692,10083,1228.39,1159,1880,4022,8193203,12326.7,896.484,915,1576,1812,8108357,10019.2,1254.15,1174,1963,4878,9637923,12511.6,908.567,928,1598,1834,9465319,10285.1,LinearSearch,8
BTree,101388,5100156632,1170.08,1124,1952,2816,9323825,12249.6,688.309,678,1137,1419,9122291,9031.12,1206.55,1158,1868,2916,9311248,12602.1,740.316,731,1225,1522,9117360,9264.92,1278.08,1228,2051,3052,9304198,12990.2,757.479,748,1265,1561,9105297,9705.97,1258.75,1200,2051,3178,9310890,12679.3,795.184,788,1328,1617,9149537,9938.24,1297.12,1250,1900,2231,9357661,13095.3,800.616,796,1346,1653,9181615,10054.8,1343.32,1294,2000,2996,9652859,13425.6,805.205,800,1355,1659,9145126,10029.7,1360.92,1297,2561,3249,9325387,12930,826.118,823,1389,1668,9168439,10099.2,1336.48,1265,2576,3310,9362980,13300.2,840.69,839,1409,1683,9186362,10415.2,1318.4,1260,1978,3207,9334922,13123.1,845.68,847,1421,1695,9140065,10201.1,InterpolationSearch,12
ALEX,9625538,4610652080,496.643,400,1046,23980,7366982,3227.38,263.421,242,598,933,6703499,1578.7,557.83,417,1200,36756,7435191,4325.23,270.268,246,639,1057,2105194,584.832,578.83,447,1377,8964,8081464,4805.79,291.151,261,703,1266,6999389,2426.43,649.287,490,1657,4614,7219831,5866.79,310.017,275,789,1489,7565989,2765.69,543.539,476,1703,3196,6906860,2759.98,315.862,276,893,1768,7694809,2051.2,732.442,526,2053,6488,8349106,7829.9,325.899,296,914,1923,7326223,2853.55,596.568,518,2139,4020,7561818,3869.44,332.439,297,1010,2206,7337600,3005.76,830.831,577,2565,7299,7772040,9667.42,336.218,307,990,2303,7429912,3095.24,620.782,531,2350,4603,7652834,4377.8,335.387,299,1070,2569,7443241,3090.37,LinearSearch,22
ALEX,9321584,4623234896,486.062,399,1045,23849,7787636,4422.84,258.457,240,587,915,7506123,3133.18,541.828,416,1199,36638,7769030,4930.05,263.019,241,618,1042,7478947,2869.46,556.688,438,1364,9043,7846776,4943.69,271.621,245,670,1240,7486015,2877.52,615.143,472,1633,4750,7752756,6085.46,279.69,249,716,1447,7476830,2955.68,527.145,460,1677,3164,7739796,3908.96,288.666,251,838,1724,6108455,2287.68,705.507,510,2031,6406,8409979,7457.49,295.686,258,848,1882,6206797,2658.17,576.979,499,2116,4049,10048726,4928.01,308.295,263,975,2173,9205902,3468.56,812.196,560,2547,7347,8201085,9579.6,313.052,277,957,2275,7949664,2916.8,602.245,513,2326,4591,8224692,5420.29,321.67,283,1054,2547,5970731,2222.65,LinearSearch,26
ALEX,9325308,4623234896,486.305,400,1046,23895,8613575,4388.39,257.803,240,588,912,5719660,2189.45,542.888,417,1200,36639,11411935,5624.19,264.491,242,624,1047,7894687,2892.48,557.769,438,1365,8464,8211736,5432.79,273.236,246,677,1245,7898276,2888.21,613.71,471,1633,4738,8211869,5929.72,282.395,250,726,1444,7883053,3197.95,527.087,459,1680,3173,8196742,4766.76,292.018,253,850,1727,6755751,2672.5,704.669,508,2031,6576,9626407,7625.39,299.751,261,866,1890,9320295,3180.82,577.427,499,2115,4047,10193117,5184.27,308.152,263,974,2179,8479431,3331.07,808.887,556,2546,7292,9506066,9987.74,313.525,277,957,2275,8188419,3188.49,601.131,512,2322,4590,8426594,5077.5,320.398,280,1050,2542,6753028,2958.41,LinearSearch,24
MABTree,256454,4887726888,852.441,792,1536,4433,9149043,10416.1,644.711,641,1126,1418,10917933,9104.33,902.335,846,1510,4607,9557574,10418.6,678.751,673,1199,1484,8641041,8239.74,965.01,901,1629,4639,8775299,10161.6,726.664,720,1261,1537,6948952,9032.34,982.214,914,1647,4626,7510513,10870.4,745.416,740,1291,1560,7364300,9187.16,994.196,934,1600,4597,8573157,10919.4,759.193,753,1327,1595,8142172,9506.06,1042.41,977,1687,4603,9148713,11372.1,782.807,785,1374,1639,9405551,9454.52,1075.96,1003,1770,5019,9511631,11403.3,797.217,800,1391,1655,7513349,9198.9,1078.37,1006,1759,4780,7663828,11160.9,797.341,800,1394,1655,6741444,9504.76,1077.92,1010,1723,4700,8187237,11037,808.557,811,1410,1670,8117293,9494.09,LinearSearch,10,7
