Index,Latency,Instructions,Cycles,Retiring,Bad_Speculation,Frontend_Bound,Core_Bound,L1_Bound,L2_Bound,L3_Bound,DRAM_Bound,Store_Bound
ALEX,584.513,1328.76212405,1740.92223159,0.20044062327027723,0.1078694352205128,0.13931146301654615,0.15578597186516258,0.06806054470943512,0.005504262348141579,0.0457467440359238,0.24688285619281283,0.03039809934118804
BTree,1022.16,2900.01955933,2775.35551213,0.2774804490733144,0.11226591546668661,0.12098075123818434,0.11974691063013432,0.03996499455752002,0.01810684817523813,0.02855009778776449,0.22633425976295604,0.05656977330820166
DynamicPGM,486.751,2691.8378922,1398.14347536,0.48486054322462707,0.21542386924684306,0.11410221002566517,0.1544685691106407,0.016920540684953526,0.0015882233071719467,0.0005865871023164158,0.005524164737382094,0.006525292560400116
MABTree,908.921,2079.68636643,2449.44108877,0.22087872551700535,0.11670684977436717,0.1468825215229999,0.15104362223005105,0.0452380371900048,-0.001504042158162367,0.02594411948899257,0.280996627638496,0.013813538796245495
