Index,Latency,Instructions,Cycles,Retiring,Bad_Speculation,Frontend_Bound,Core_Bound,L1_Bound,L2_Bound,L3_Bound,DRAM_Bound,Store_Bound
ALEX,221.988,800.11092574,775.52823688,0.2758125384590832,0.12114816420567256,0.23877394264429025,0.05029245821123271,0.048224674655381806,0.018066789760459955,0.027990948462618424,0.19970028140851234,0.019990202192748815
ART,658.34,1398.15279128,1836.59420261,0.1763208270655807,0.10178993380675708,0.07287842795413886,0.1597615254281512,0.07631183253971004,0.014399820332557628,0.026538296262930503,0.35551925064867707,0.01648008596149701
BTree,603.039,2114.0712781,1715.64016121,0.33084845111498096,0.1464409129481327,0.20108378311217678,0.1438610887947481,0.029707625496435203,0.008644847145862129,0.034621944825868604,0.09971184833284637,0.0050794982289490255
DynamicPGM,2084.03,6970.31716647,5298.54239926,0.3307124082334227,0.29241094104978943,0.2703477792987807,0.04585007882240116,0.006346545474223691,0.007503846180455942,0.023409969352784967,0.02501902426423779,-0.001600592676096189
FINEdex,864.689,1513.8591219,2395.36555247,0.16488531894822,0.0711490493436437,0.059698877740857186,0.163209323981901,0.06761702394797696,0.005338077866856808,0.028707517261001358,0.36707330180615255,0.07232150910339054
LIPP,783.68,2774.34700814,2153.60885872,0.3211702091967799,0.0775522694291148,0.052109963050463844,0.11932338356127556,0.05313516152760245,-0.01271657952895587,0.00733929184291922,0.3703725803891638,0.011713720531636124
MABTree,607.005,2386.78619754,1720.42425917,0.36479376405652014,0.10633565948524853,0.27123676809223096,0.05755231597715235,0.028405775555113994,0.004505075922275609,0.028629017236531763,0.1308149918756597,0.0077266317992669906
Wormhole,811.43,2099.5629348,2256.87003069,0.2399209288223561,0.07120701762446957,0.10565243720139915,0.14581802047019393,0.05178570133515773,0.007923585627344886,0.04408379370901925,0.32442840623406566,0.009180108975993775
XIndex,1011.55,3292.53663115,4285.51238795,0.19438810827763922,0.06663901318592529,0.09535715743164679,0.42220153248310904,0.09333761622067832,0.004131844281363016,0.01974911634565372,0.0853144798268861,0.018881131947098607
