FINEdex,101721,68272325,0.00627382,BinarySearch,32
FINEdex,88942,68404456,0.00573161,BinarySearch,64
FINEdex,111266,68547432,0.00630295,BinarySearch,128
FINEdex,126079,68309676,0.00679735,BinarySearch,256
FINEdex,127719,68054931,0.00631145,BinarySearch,512
FINEdex,161080,67941641,0.00641323,BinarySearch,1024
FINEdex,96041,68228590,0.00552748,ExponentialSearch,32
FINEdex,84426,68111375,0.00592704,ExponentialSearch,64
FINEdex,110977,67934573,0.00547022,ExponentialSearch,128
FINEdex,125380,68428576,0.00568814,ExponentialSearch,256
FINEdex,128677,68105656,0.00554242,ExponentialSearch,512
FINEdex,160306,68354170,0.00572055,ExponentialSearch,1024
FINEdex,94686,68463915,0.00605576,LinearSearch,32
FINEdex,84500,68035414,0.0076111,LinearSearch,64
FINEdex,110833,68389193,0.00709834,LinearSearch,128
FINEdex,125586,68041198,0.00734149,LinearSearch,256
FINEdex,127228,68229244,0.00624718,LinearSearch,512
FINEdex,160248,68376678,0.00584895,LinearSearch,1024
FINEdex,132041,68582875,0.0047041,LinearAVX,32
FINEdex,89098,68288221,0.00440808,LinearAVX,64
FINEdex,111111,68180143,0.00450253,LinearAVX,128
FINEdex,126144,68208809,0.00465205,LinearAVX,256
FINEdex,127995,68217883,0.00447671,LinearAVX,512
FINEdex,162963,68188716,0.00426519,LinearAVX,1024
FINEdex,146354,68339760,0.00655167,InterpolationSearch,32
FINEdex,84366,68479392,0.00679482,InterpolationSearch,64
FINEdex,110948,68534449,0.00525987,InterpolationSearch,128
FINEdex,125367,68706088,0.00547692,InterpolationSearch,256
FINEdex,127308,68435359,0.00781285,InterpolationSearch,512
FINEdex,160053,68516235,0.0048677,InterpolationSearch,1024
XIndex,261665,149631152,5.00832,BinarySearch,16
XIndex,98875,107005616,5.03873,BinarySearch,32
XIndex,116991,95151976,6.05358,BinarySearch,64
XIndex,115930,91915176,6.20316,BinarySearch,128
XIndex,124786,90889656,5.36316,BinarySearch,256
XIndex,97848,90785856,6.1175,BinarySearch,512
XIndex,211698,149223520,4.77751,ExponentialSearch,16
XIndex,119998,106932312,5.23884,ExponentialSearch,32
XIndex,114179,95151976,6.28287,ExponentialSearch,64
XIndex,115072,91821880,5.487,ExponentialSearch,128
XIndex,108225,91080808,5.85272,ExponentialSearch,256
XIndex,98812,90865824,6.88083,ExponentialSearch,512
XIndex,269846,149202536,3.74103,LinearSearch,16
XIndex,98632,106965632,5.02704,LinearSearch,32
XIndex,117676,95078672,6.38524,LinearSearch,64
XIndex,114891,91941832,6.47569,LinearSearch,128
XIndex,116617,90962960,5.669,LinearSearch,256
XIndex,93986,90792520,6.96438,LinearSearch,512
