DynamicPGM,272821,1445289564,1.03853,BinarySearch,64
DynamicPGM,223863,1445021864,1.02652,BinarySearch,256
DynamicPGM,236804,1445289564,0.986598,LinearSearch,64
LIPP,874329,9279128544,1.34649
BTree,97116,2294331704,1.05224,LinearSearch,8
BTree,58415,2652325960,1.08025,LinearSearch,6
BTree,41803,2294331704,0.969652,InterpolationSearch,8
ALEX,1744849,2046010200,2.17643,LinearSearch,22
ALEX,1700585,2045084888,2.13324,LinearSearch,20
ALEX,1672433,2045372760,2.31888,LinearSearch,24
MABTree,71914,2061535888,1.21816,LinearSearch,10,7
MABTree,58172,2061535888,1.17796,LinearSearch,10,8
MABTree,58131,2061535888,1.00702,ExponentialSearch,10,7
ART,581411,3657714496,1.67985
FINEdex,686738,2997718122,0.93458,InterpolationSearch,256
FINEdex,2187535,2997714882,0.930399,InterpolationSearch,512
FINEdex,530167,2997779802,0.956228,InterpolationSearch,64
Wormhole,1407247,2720000000,0.865753
